city,name,total,s_year,s_month,s_day,s_quarter,s_hour,orders_count  
桃園,linepay,158,2021,4,30,2,21,4
桃園,linepay,142,2021,4,30,2,22,3
桃園,linepay,352,2021,5,1,2,11,4
新竹,cash,1124,2021,4,18,2,10,12
新竹,cash,2094,2021,4,18,2,11,21
新竹,cash,2484,2021,4,18,2,12,31
新竹,cash,2780,2021,4,18,2,13,31
新竹,cash,2003,2021,4,18,2,14,22
新竹,cash,1918,2021,4,18,2,15,25
新竹,cash,1304,2021,4,18,2,16,18
新竹,cash,962,2021,4,18,2,17,15
新竹,cash,1297,2021,4,18,2,18,19
新竹,cash,1289,2021,4,18,2,19,14
新竹,cash,739,2021,4,18,2,20,12
新竹,cash,301,2021,4,18,2,21,5
新竹,cash,191,2021,4,18,2,22,4
新竹,easycard,127,2021,4,18,2,10,1
新竹,easycard,351,2021,4,18,2,11,3
新竹,easycard,39,2021,4,18,2,12,1
新竹,easycard,136,2021,4,18,2,13,2
新竹,easycard,38,2021,4,18,2,14,1
新竹,easycard,75,2021,4,18,2,15,1
新竹,easycard,79,2021,4,18,2,17,1
新竹,easycard,155,2021,4,18,2,19,2
新竹,linepay,182,2021,4,18,2,10,2
新竹,linepay,56,2021,4,18,2,12,1
新竹,linepay,292,2021,4,18,2,14,4
新竹,linepay,60,2021,4,18,2,15,2
新竹,linepay,47,2021,4,18,2,19,1
新竹,linepay,95,2021,4,18,2,20,1
新竹,national_credit_card,117,2021,4,18,2,12,1
台中,cash,811,2021,4,18,2,9,15
台中,cash,578,2021,4,18,2,10,10
台中,cash,1566,2021,4,18,2,11,22
台中,cash,2809,2021,4,18,2,12,32
台中,cash,2043,2021,4,18,2,13,24
台中,cash,1396,2021,4,18,2,14,17
台中,cash,1228,2021,4,18,2,15,15
台中,cash,1111,2021,4,18,2,16,17
台中,cash,1413,2021,4,18,2,17,19
台中,cash,1042,2021,4,18,2,18,19
台中,cash,561,2021,4,18,2,19,9
台中,cash,647,2021,4,18,2,20,12
台中,cash,701,2021,4,18,2,21,10
台中,easycard,215,2021,4,18,2,9,2
台中,easycard,31,2021,4,18,2,11,1
台中,easycard,185,2021,4,18,2,12,2
台中,easycard,122,2021,4,18,2,13,1
台中,easycard,356,2021,4,18,2,14,5
台中,easycard,43,2021,4,18,2,15,1
台中,easycard,78,2021,4,18,2,17,1
台中,easycard,54,2021,4,18,2,19,1
台中,linepay,53,2021,4,18,2,9,1
台中,linepay,338,2021,4,18,2,11,2
台中,linepay,120,2021,4,18,2,12,1
台中,linepay,29,2021,4,18,2,13,1
台中,linepay,262,2021,4,18,2,14,2
台中,linepay,82,2021,4,18,2,15,2
台中,linepay,300,2021,4,18,2,16,2
台中,linepay,259,2021,4,18,2,17,2
台中,linepay,37,2021,4,18,2,18,1
台中,linepay,142,2021,4,18,2,21,2
台中,national_credit_card,104,2021,4,18,2,12,1
台中,national_credit_card,59,2021,4,18,2,15,1
台中,national_credit_card,72,2021,4,18,2,16,2
台中,cash,458,2021,4,26,2,9,7
台中,cash,692,2021,4,26,2,10,14
台中,cash,2165,2021,4,26,2,11,28
台中,cash,2043,2021,4,26,2,12,36
台中,cash,1854,2021,4,26,2,13,20
南投,cash,2039,2021,4,18,2,9,27
南投,cash,1896,2021,4,18,2,10,26
南投,cash,2153,2021,4,18,2,11,24
南投,cash,3094,2021,4,18,2,12,32
南投,cash,3028,2021,4,18,2,13,35
南投,cash,2973,2021,4,18,2,14,33
南投,cash,1666,2021,4,18,2,15,26
南投,cash,890,2021,4,18,2,16,11
南投,cash,1807,2021,4,18,2,17,19
南投,cash,1610,2021,4,18,2,18,21
南投,cash,1673,2021,4,18,2,19,22
南投,cash,2014,2021,4,18,2,20,18
南投,cash,598,2021,4,18,2,21,11
南投,easycard,96,2021,4,18,2,9,1
南投,easycard,228,2021,4,18,2,10,1
南投,easycard,340,2021,4,18,2,11,3
南投,easycard,186,2021,4,18,2,12,2
南投,easycard,266,2021,4,18,2,13,2
南投,easycard,97,2021,4,18,2,14,1
南投,easycard,236,2021,4,18,2,15,1
南投,easycard,85,2021,4,18,2,17,1
